scope,holding_days,dte_bucket,event_type,post_warmup_only,trade_count,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_loss,max_win,profit_factor,top_5_wins_to_total_pnl,expected_shortfall_5pct,top10_capture,flat_ratio
holding_dte_event_type,1,22-30,gap_event,False,7,0.5714285714285714,0.1518335757019885,0.0212841975262748,5099.842857142862,35698.90000000004,-7260.799999999989,20944.5,3.9534221869234716,1.2983901464751006,-7260.799999999989,0.06382978723404255,0.9851063829787234
holding_dte_event_type,1,22-30,noise_theta_decay,False,148,0.24324324324324326,-0.03326503648100743,-0.04290795790486105,-1190.6756756756722,-176219.99999999948,-11215.799999999996,8306.300000000005,0.22657234436535104,-0.12808478038815174,-6094.9999999999945,0.0425531914893617,0.6851063829787234
holding_dte_event_type,1,22-30,trend_vol_expansion,False,26,0.3076923076923077,-0.015893157662648292,-0.0170952039212683,-465.0846153846114,-12092.199999999897,-4412.199999999995,5452.100000000008,0.5184865148987202,-1.0084765385951384,-3848.449999999994,0.02127659574468085,0.9446808510638298
holding_dte_event_type,1,22-30,up_shock,False,3,1.0,0.304248655411466,0.1846552553219036,7400.366666666669,22201.100000000006,3580.4,10633.400000000003,inf,1.0000000000000002,3580.4,0.06382978723404255,0.9936170212765958
holding_dte_event_type,1,31-45,down_shock,False,1,1.0,0.321631321755184,0.321631321755184,10906.100000000004,10906.100000000004,10906.100000000004,10906.100000000004,inf,1.0,10906.100000000004,0.02127659574468085,0.997872340425532
holding_dte_event_type,1,31-45,gap_event,False,3,0.3333333333333333,-0.082924991676659,-0.0786967342708656,-3961.4000000000015,-11884.200000000004,-8771.100000000002,7.799999999997453,0.000655903128153166,1.0,-8771.100000000002,0.0,0.9936170212765958
holding_dte_event_type,1,31-45,noise_theta_decay,False,59,0.23728813559322035,-0.028336385072995914,-0.0262860696517411,-2194.7796610169444,-129491.99999999971,-87463.19999999998,5175.199999999995,0.19887897994599127,-0.15965387823186036,-32784.866666666654,0.06382978723404255,0.874468085106383
holding_dte_event_type,1,31-45,trend_vol_expansion,False,13,0.38461538461538464,-0.029923145695766578,-0.0166738463877554,-1613.8923076923036,-20980.599999999948,-13537.199999999995,3957.400000000007,0.22676681310257488,-0.2932709264749355,-13537.199999999995,0.0,0.9723404255319149
holding_dte_event_type,1,31-45,up_shock,False,1,1.0,0.2707318803133015,0.2707318803133015,13359.400000000016,13359.400000000016,13359.400000000016,13359.400000000016,inf,1.0,13359.400000000016,0.02127659574468085,0.997872340425532
holding_dte_event_type,1,7-10,down_shock,False,1,1.0,0.1992943085988498,0.1992943085988498,5648.200000000003,5648.200000000003,5648.200000000003,5648.200000000003,inf,1.0,5648.200000000003,0.02127659574468085,0.997872340425532
holding_dte_event_type,1,7-10,gap_event,False,3,0.3333333333333333,0.0986574739588147,-0.0504139110387491,1190.1000000000029,3570.3000000000084,-6615.6,13632.200000000006,1.3548335801389408,1.0,-6615.6,0.02127659574468085,0.9936170212765958
holding_dte_event_type,1,7-10,noise_theta_decay,False,20,0.1,-0.06719933973682678,-0.09432501375382425,-1463.0949999999975,-29261.89999999995,-7416.99999999999,5324.900000000002,0.216634854005317,-0.23018669327692393,-7416.99999999999,0.0425531914893617,0.9574468085106383
holding_dte_event_type,1,7-10,trend_vol_expansion,False,3,0.3333333333333333,-0.03800875425047997,-0.0389950756421972,-827.2666666666661,-2481.7999999999984,-2290.2999999999965,422.999999999999,0.14562104103552717,1.0,-2290.2999999999965,0.0,0.9936170212765958
holding_dte,3,10-14,all,False,44,0.22727272727272727,-0.0799135450387472,-0.1578700027398635,-2063.1068181818155,-90776.69999999988,-19167.29999999999,29502.300000000003,0.46766401681393754,-0.7934084407122105,-13974.333333333328,0.0851063829787234,0.9063829787234042
holding_dte,3,15-21,all,False,130,0.34615384615384615,0.03711173876846545,-0.0694717346771221,296.26230769231074,38514.1000000004,-84279.99999999999,58378.8,1.0906217102832818,4.751737675292897,-20107.78571428571,0.48936170212765956,0.7234042553191489
holding_dte,3,22-30,all,False,192,0.3072916666666667,0.04125169109229422,-0.07454161000318149,531.0031250000034,101952.60000000065,-14776.399999999996,102295.7,1.194314237848286,3.3260936945207664,-10316.279999999993,0.3404255319148936,0.5914893617021277
holding_dte,3,31-45,all,False,77,0.4025974025974026,-0.028547565159751064,-0.0462193980592088,-2295.2870129870084,-176737.09999999966,-90149.69999999998,10192.300000000008,0.33603858658125335,-0.21336097514330662,-32203.899999999994,0.0425531914893617,0.8361702127659575
holding_dte,3,7-10,all,False,27,0.37037037037037035,-0.09774360492004767,-0.2402495913716787,-1391.4666666666658,-37569.59999999998,-11314.499999999996,15856.9,0.6050065973116613,-1.3746220348366769,-11226.399999999996,0.0425531914893617,0.9425531914893617
holding_dte_event_type,3,10-14,down_shock,False,3,1.0,0.6828709177951787,0.556669133670491,17900.200000000004,53700.60000000001,7951.8,29502.300000000003,inf,1.0,7951.8,0.06382978723404255,0.9936170212765958
holding_dte_event_type,3,10-14,gap_event,False,3,0.0,-0.2222257648308594,-0.2446502780216565,-6625.533333333333,-19876.6,-8359.700000000004,-5256.299999999996,0.0,1.0,-8359.700000000004,0.0,0.9936170212765958
holding_dte_event_type,3,10-14,noise_theta_decay,False,29,0.06896551724137931,-0.17267622233158939,-0.160037578067111,-4093.565517241377,-118713.39999999994,-14395.999999999993,1465.400000000005,0.018877249529949028,0.012344857446589768,-10866.849999999995,0.0,0.9382978723404255
