strategy,holding_days,event_type,dte_bucket,data_source,trade_count,premium_cost,win_rate,avg_return,median_return,max_loss,max_win,top_5_wins_contribution,event_type_capture
3% OTM strangle,1,down_shock,7-10,provider_chain,1,119.79599999999998,1.0,0.48839694146716106,0.48839694146716106,5850.800000000002,5850.800000000002,1.0,0.006802721088435374
3% OTM strangle,1,gap_event,10-14,provider_chain,3,154.43499999999997,0.0,-0.3889018871255574,-0.3564676616915422,-13723.199999999997,-3126.999999999998,1.0,0.047619047619047616
3% OTM strangle,1,gap_event,15-21,provider_chain,6,177.148,0.3333333333333333,0.6670164650001432,-0.09858451043152536,-5251.4,53044.69999999999,1.0641153524488587,0.09523809523809523
3% OTM strangle,1,gap_event,22-30,provider_chain,7,219.77914285714283,0.5714285714285714,0.23254422526819685,0.03257214736689328,-9457.099999999997,17740.100000000002,1.4594956056553303,0.1111111111111111
3% OTM strangle,1,gap_event,31-45,provider_chain,3,249.23999999999998,0.0,-0.15400266579113206,-0.21336047037539557,-5966.299999999998,-428.1999999999982,1.0,0.047619047619047616
3% OTM strangle,1,gap_event,7-10,provider_chain,2,131.253,0.5,0.5905413816428774,0.5905413816428774,-5353.899999999999,8933.4,1.0,0.031746031746031744
3% OTM strangle,1,noise_theta_decay,10-14,provider_chain,35,81.38777142857141,0.14285714285714285,-0.08802453007268887,-0.12765974686826453,-14105.499999999998,7676.200000000002,-0.2544658606615425,0.042067307692307696
3% OTM strangle,1,noise_theta_decay,15-21,provider_chain,86,100.44390697674416,0.2558139534883721,-0.06041735460912743,-0.07440403709060406,-10168.799999999996,3206.6000000000004,-0.2023345421577519,0.10336538461538461
3% OTM strangle,1,noise_theta_decay,22-30,provider_chain,148,152.60517567567567,0.22297297297297297,-0.0549963745133183,-0.060935185774361855,-9309.899999999996,6241.7,-0.12608244101394706,0.1778846153846154
3% OTM strangle,1,noise_theta_decay,31-45,provider_chain,59,188.5822881355932,0.23728813559322035,-0.030084655127792397,-0.038595449515532454,-6887.899999999996,4507.300000000004,-0.37099151495837274,0.07091346153846154
3% OTM strangle,1,noise_theta_decay,7-10,provider_chain,20,64.55114999999999,0.15,-0.13537435379049828,-0.16195200468246987,-5331.699999999996,2208.8000000000006,-0.0952417960325635,0.02403846153846154
3% OTM strangle,1,trend_vol_expansion,10-14,provider_chain,2,128.94149999999996,0.5,0.17026126456564084,0.17026126456564084,-3495.0999999999967,2283.300000000001,1.0,0.007142857142857143
3% OTM strangle,1,trend_vol_expansion,15-21,provider_chain,27,115.10600000000001,0.2962962962962963,-0.03834084998736752,-0.08731837501235547,-3394.6999999999975,3721.799999999999,-1.3381704326247343,0.09642857142857143
3% OTM strangle,1,trend_vol_expansion,22-30,provider_chain,26,152.14153846153843,0.38461538461538464,-0.01865308405322327,-0.04805100298571595,-3001.000000000002,2741.300000000001,-1.094747019013863,0.09285714285714286
3% OTM strangle,1,trend_vol_expansion,31-45,provider_chain,13,197.67576923076922,0.46153846153846156,-0.01999233651528191,-0.007177000153295354,-10595.800000000003,3249.7000000000016,-0.673331565455673,0.04642857142857143
3% OTM strangle,1,trend_vol_expansion,7-10,provider_chain,3,53.46599999999999,0.6666666666666666,0.02452036915744819,0.014197306152165964,-1953.2999999999995,852.6000000000004,1.0,0.010714285714285714
3% OTM strangle,1,up_shock,10-14,provider_chain,1,180.89999999999998,1.0,0.17595909342178026,0.17595909342178026,3183.1000000000045,3183.1000000000045,1.0,0.012195121951219513
3% OTM strangle,1,up_shock,15-21,provider_chain,2,96.1785,0.5,0.3754049731800208,0.3754049731800208,-1431.4999999999998,4583.3,1.0,0.024390243902439025
3% OTM strangle,1,up_shock,22-30,provider_chain,3,124.01699999999998,1.0,0.8236373383551835,0.5081757877280267,3064.3000000000015,9937.800000000001,1.0,0.036585365853658534
3% OTM strangle,1,up_shock,31-45,provider_chain,1,273.159,1.0,0.4096734868702844,0.4096734868702844,11190.6,11190.6,1.0,0.012195121951219513
3% OTM strangle,3,down_shock,10-14,provider_chain,3,102.04099999999998,1.0,1.4489126620773944,1.1341072415699285,5129.000000000001,27352.300000000003,1.0,0.02040816326530612
3% OTM strangle,3,down_shock,15-21,provider_chain,21,102.40471428571428,1.0,1.533879055572337,0.7400874415799789,619.3000000000012,60182.99999999999,0.6096218527908703,0.14285714285714285
3% OTM strangle,3,down_shock,22-30,provider_chain,22,148.6029545454545,1.0,0.4793107811676969,0.33880456474688714,850.5000000000024,30929.399999999998,0.5119637629456065,0.14965986394557823
3% OTM strangle,3,down_shock,31-45,provider_chain,9,163.413,0.8888888888888888,0.2935893004220112,0.23586107264365477,-788.2000000000005,11643.600000000004,0.8139991635653293,0.061224489795918366
3% OTM strangle,3,down_shock,7-10,provider_chain,2,96.98249999999999,1.0,0.6996092657427293,0.6996092657427293,1100.3,14984.9,1.0,0.013605442176870748
3% OTM strangle,3,gap_event,10-14,provider_chain,3,154.43499999999997,0.0,-0.491366794667194,-0.5035806881087519,-12270.499999999996,-3908.7999999999993,1.0,0.047619047619047616
3% OTM strangle,3,gap_event,15-21,provider_chain,6,177.148,0.3333333333333333,0.1388537213083373,-0.2690849863666611,-7168.599999999999,27353.800000000003,1.3484351380646165,0.09523809523809523
3% OTM strangle,3,gap_event,22-30,provider_chain,7,219.77914285714283,0.2857142857142857,0.9166197118833496,-0.19329279528284496,-11506.799999999996,96902.29999999999,1.2106436207437932,0.1111111111111111
3% OTM strangle,3,gap_event,31-45,provider_chain,3,249.23999999999998,0.3333333333333333,-0.07022600893752451,-0.2529977563164568,-6483.699999999996,8128.800000000001,1.0,0.047619047619047616
3% OTM strangle,3,gap_event,7-10,provider_chain,2,131.253,0.5,0.6065207038597414,0.6065207038597414,-697.2999999999985,7699.5999999999985,1.0,0.031746031746031744
3% OTM strangle,3,noise_theta_decay,10-14,provider_chain,29,73.82244827586206,0.0,-0.39244004451232745,-0.39250972329764416,-9206.399999999994,-4.999999999999005,0.04079839346241352,0.03485576923076923
3% OTM strangle,3,noise_theta_decay,15-21,provider_chain,65,104.69935384615383,0.1076923076923077,-0.23808813830974063,-0.2545734363203437,-8012.799999999998,2861.4000000000033,-0.033408541878000145,0.078125
3% OTM strangle,3,noise_theta_decay,22-30,provider_chain,114,148.96744736842103,0.12280701754385964,-0.17301246725723265,-0.18793410642524622,-13049.099999999993,3741.0000000000055,-0.03966387927059659,0.13701923076923078
3% OTM strangle,3,noise_theta_decay,31-45,provider_chain,51,197.61847058823528,0.13725490196078433,-0.11417469374376317,-0.11243229324725712,-17978.699999999997,2003.800000000001,-0.027826788700141086,0.06129807692307692
3% OTM strangle,3,noise_theta_decay,7-10,provider_chain,19,64.19305263157894,0.10526315789473684,-0.4405702731852916,-0.5007198962209011,-8139.699999999999,596.9000000000023,0.04804253816119822,0.02283653846153846
3% OTM strangle,3,trend_vol_expansion,10-14,provider_chain,6,137.819,0.5,-0.05287755948395595,-0.05340243228302914,-14841.799999999996,2625.900000000004,0.031839738028297385,0.02142857142857143
3% OTM strangle,3,trend_vol_expansion,15-21,provider_chain,29,119.65737931034482,0.27586206896551724,-0.17236370186897934,-0.17812308321406656,-6207.5,1732.5999999999995,-0.08340138450781666,0.10357142857142858
3% OTM strangle,3,trend_vol_expansion,22-30,provider_chain,36,171.17941666666667,0.2222222222222222,-0.07221215393073394,-0.09874159864767462,-7911.099999999996,5365.4,-0.23489639583071728,0.12857142857142856
3% OTM strangle,3,trend_vol_expansion,31-45,provider_chain,12,184.36724999999993,0.8333333333333334,0.04896749549560129,0.0801330051349468,-4077.7999999999965,3628.6000000000004,1.1370431819996605,0.04285714285714286
3% OTM strangle,3,trend_vol_expansion,7-10,provider_chain,2,47.23499999999999,0.0,-0.29083821553591493,-0.29083821553591493,-2359.499999999999,-580.1999999999999,1.0,0.007142857142857143
3% OTM strangle,3,up_shock,10-14,provider_chain,3,123.61499999999997,1.0,0.2207219439099429,0.255467344130412,1206.7000000000007,3976.600000000002,1.0,0.036585365853658534
3% OTM strangle,3,up_shock,15-21,provider_chain,8,85.75162499999999,1.0,0.6167388309270756,0.5099030036984916,3196.3999999999996,9264.8,0.7209996233073613,0.0975609756097561
