signal_date,entry_date,exit_date,holding_days,strategy,moneyness,call_code,put_code,spot_at_signal,call_strike,put_strike,dte,entry_call_price,entry_put_price,exit_call_price,exit_put_price,entry_premium,exit_premium,net_pnl,return_on_premium,entry_mode_used
2024-12-02,2024-12-03,2024-12-05,3,3% OTM strangle,0.03,MO2412-C-6600.CFE,MO2412-P-6100.CFE,6313.6077,6600.0,6100.0,18,61.2,103.8,45.6,96.6,165.825,141.48899999999998,-2433.6000000000013,-0.14675712347354147,next_open
2024-12-02,2024-12-03,2024-12-09,5,3% OTM strangle,0.03,MO2412-C-6600.CFE,MO2412-P-6100.CFE,6313.6077,6600.0,6100.0,18,61.2,103.8,33.6,68.2,165.825,101.29100000000001,-6453.399999999998,-0.38916930499020036,next_open
2024-12-03,2024-12-04,2024-12-04,1,3% OTM strangle,0.03,MO2412-C-6500.CFE,MO2412-P-6100.CFE,6303.2758,6500.0,6100.0,17,81.0,110.0,55.4,133.0,191.95499999999998,187.458,-449.69999999999857,-0.02342736578885669,next_open
2024-12-03,2024-12-04,2024-12-06,3,3% OTM strangle,0.03,MO2412-C-6500.CFE,MO2412-P-6100.CFE,6303.2758,6500.0,6100.0,17,81.0,110.0,74.8,59.4,191.95499999999998,133.529,-5842.5999999999985,-0.3043734208538459,next_open
2024-12-03,2024-12-04,2024-12-10,5,3% OTM strangle,0.03,MO2412-C-6500.CFE,MO2412-P-6100.CFE,6303.2758,6500.0,6100.0,17,81.0,110.0,65.4,30.0,191.95499999999998,94.923,-9703.199999999999,-0.5054934750332108,next_open
2024-12-04,2024-12-05,2024-12-05,1,3% OTM strangle,0.03,MO2412-C-6400.CFE,MO2412-P-6000.CFE,6204.9448,6400.0,6000.0,16,71.0,101.0,96.2,68.8,172.85999999999999,164.175,-868.4999999999974,-0.050242971190558684,next_open
2024-12-04,2024-12-05,2024-12-09,3,3% OTM strangle,0.03,MO2412-C-6400.CFE,MO2412-P-6000.CFE,6204.9448,6400.0,6000.0,16,71.0,101.0,81.2,43.6,172.85999999999999,124.17600000000002,-4868.399999999997,-0.28163832002776795,next_open
2024-12-04,2024-12-05,2024-12-11,5,3% OTM strangle,0.03,MO2412-C-6400.CFE,MO2412-P-6000.CFE,6204.9448,6400.0,6000.0,16,71.0,101.0,125.8,10.2,172.85999999999999,135.32,-3753.999999999999,-0.2171699641328242,next_open
2024-12-05,2024-12-06,2024-12-06,1,3% OTM strangle,0.03,MO2412-C-6500.CFE,MO2412-P-6000.CFE,6285.6007,6500.0,6000.0,15,69.2,71.8,74.8,40.0,141.70499999999998,114.226,-2747.8999999999987,-0.19391694012208455,next_open
2024-12-05,2024-12-06,2024-12-10,3,3% OTM strangle,0.03,MO2412-C-6500.CFE,MO2412-P-6000.CFE,6285.6007,6500.0,6000.0,15,69.2,71.8,65.4,17.6,141.70499999999998,82.585,-5911.999999999999,-0.4172047563600437,next_open
2024-12-05,2024-12-06,2024-12-12,5,3% OTM strangle,0.03,MO2412-C-6500.CFE,MO2412-P-6000.CFE,6285.6007,6500.0,6000.0,15,69.2,71.8,99.0,6.4,141.70499999999998,104.873,-3683.199999999998,-0.2599202568716699,next_open
2024-12-06,2024-12-09,2024-12-09,1,3% OTM strangle,0.03,MO2412-C-6600.CFE,MO2412-P-6100.CFE,6349.6211,6600.0,6100.0,14,49.8,62.0,33.6,68.2,112.35899999999998,101.29100000000001,-1106.799999999997,-0.09850568267784487,next_open
2024-12-06,2024-12-09,2024-12-11,3,3% OTM strangle,0.03,MO2412-C-6600.CFE,MO2412-P-6100.CFE,6349.6211,6600.0,6100.0,14,49.8,62.0,51.0,17.6,112.35899999999998,68.25699999999999,-4410.199999999999,-0.39250972329764416,next_open
2024-12-06,2024-12-09,2024-12-13,5,3% OTM strangle,0.03,MO2412-C-6600.CFE,MO2412-P-6100.CFE,6349.6211,6600.0,6100.0,14,49.8,62.0,14.2,18.2,112.35899999999998,32.238,-8012.0999999999985,-0.7130803940939311,next_open
2024-12-09,2024-12-10,2024-12-10,1,3% OTM strangle,0.03,MO2412-C-6500.CFE,MO2412-P-6100.CFE,6303.2721,6500.0,6100.0,11,199.0,32.0,65.4,30.0,232.15499999999997,94.923,-13723.199999999997,-0.5911223105252955,next_open
2024-12-09,2024-12-10,2024-12-12,3,3% OTM strangle,0.03,MO2412-C-6500.CFE,MO2412-P-6100.CFE,6303.2721,6500.0,6100.0,11,199.0,32.0,99.0,11.0,232.15499999999997,109.45,-12270.499999999996,-0.5285477375029614,next_open
2024-12-09,2024-12-10,2024-12-16,5,3% OTM strangle,0.03,MO2412-C-6500.CFE,MO2412-P-6100.CFE,6303.2721,6500.0,6100.0,11,199.0,32.0,9.8,17.6,232.15499999999997,27.263,-20489.199999999997,-0.8825655273416467,next_open
2024-12-10,2024-12-11,2024-12-11,1,3% OTM strangle,0.03,MO2412-C-6600.CFE,MO2412-P-6100.CFE,6362.0203,6600.0,6100.0,10,45.0,30.8,51.0,17.6,76.17899999999999,68.25699999999999,-792.1999999999997,-0.10399191378201339,next_open
2024-12-10,2024-12-11,2024-12-13,3,3% OTM strangle,0.03,MO2412-C-6600.CFE,MO2412-P-6100.CFE,6362.0203,6600.0,6100.0,10,45.0,30.8,14.2,18.2,76.17899999999999,32.238,-4394.0999999999985,-0.5768125073839246,next_open
2024-12-10,2024-12-11,2024-12-17,5,3% OTM strangle,0.03,MO2412-C-6600.CFE,MO2412-P-6100.CFE,6362.0203,6600.0,6100.0,10,45.0,30.8,1.4,45.2,76.17899999999999,46.367000000000004,-2981.1999999999985,-0.3913414458052743,next_open
2024-12-13,2024-12-16,2024-12-16,1,3% OTM strangle,0.03,MO2501-C-6600.CFE,MO2501-P-6100.CFE,6354.9883,6600.0,6100.0,35,103.0,128.0,73.6,135.4,232.15499999999997,207.955,-2419.999999999996,-0.10424070125562647,next_open
2024-12-13,2024-12-16,2024-12-18,3,3% OTM strangle,0.03,MO2501-C-6600.CFE,MO2501-P-6100.CFE,6354.9883,6600.0,6100.0,35,103.0,128.0,53.2,172.2,232.15499999999997,224.27299999999997,-788.2000000000005,-0.033951454846977265,next_open
2024-12-13,2024-12-16,2024-12-20,5,3% OTM strangle,0.03,MO2501-C-6600.CFE,MO2501-P-6100.CFE,6354.9883,6600.0,6100.0,35,103.0,128.0,54.4,123.2,232.15499999999997,176.712,-5544.299999999998,-0.2388188925502358,next_open
2024-12-16,2024-12-17,2024-12-17,1,3% OTM strangle,0.03,MO2501-C-6500.CFE,MO2501-P-6000.CFE,6277.5162,6500.0,6000.0,32,94.6,105.0,70.4,142.8,200.59799999999998,212.13400000000001,1153.600000000003,0.057508050927726255,next_open
2024-12-16,2024-12-17,2024-12-19,3,3% OTM strangle,0.03,MO2501-C-6500.CFE,MO2501-P-6000.CFE,6277.5162,6500.0,6000.0,32,94.6,105.0,74.8,119.6,200.59799999999998,193.42799999999997,-717.0000000000016,-0.03574312804713913,next_open
2024-12-16,2024-12-17,2024-12-23,5,3% OTM strangle,0.03,MO2501-C-6500.CFE,MO2501-P-6000.CFE,6277.5162,6500.0,6000.0,32,94.6,105.0,52.0,158.8,200.59799999999998,209.746,914.8000000000025,0.04560364510114769,next_open
2024-12-17,2024-12-18,2024-12-18,1,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6143.9436,6400.0,5900.0,31,100.0,104.8,97.0,95.8,205.82399999999998,191.836,-1398.799999999997,-0.06796097636815907,next_open
2024-12-17,2024-12-18,2024-12-20,3,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6143.9436,6400.0,5900.0,31,100.0,104.8,106.2,67.4,205.82399999999998,172.73200000000003,-3309.1999999999957,-0.1607781405472635,next_open
2024-12-17,2024-12-18,2024-12-24,5,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6143.9436,6400.0,5900.0,31,100.0,104.8,80.0,92.8,205.82399999999998,171.936,-3388.7999999999975,-0.1646455223880596,next_open
2024-12-18,2024-12-19,2024-12-19,1,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-6000.CFE,6195.8677,6400.0,6000.0,30,81.4,150.0,104.4,119.6,232.557,222.88,-967.6999999999992,-0.041611303895389064,next_open
2024-12-18,2024-12-19,2024-12-23,3,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-6000.CFE,6195.8677,6400.0,6000.0,30,81.4,150.0,73.2,158.8,232.557,230.84,-171.69999999999845,-0.007383136177367204,next_open
2024-12-18,2024-12-19,2024-12-25,5,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-6000.CFE,6195.8677,6400.0,6000.0,30,81.4,150.0,64.4,143.0,232.557,206.363,-2619.3999999999987,-0.11263475191028433,next_open
2024-12-19,2024-12-20,2024-12-20,1,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-6000.CFE,6207.1862,6400.0,6000.0,29,104.4,125.0,106.2,89.0,230.54699999999997,194.224,-3632.299999999998,-0.15755138865394033,next_open
2024-12-19,2024-12-20,2024-12-24,3,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-6000.CFE,6207.1862,6400.0,6000.0,29,104.4,125.0,80.0,127.0,230.54699999999997,205.965,-2458.1999999999966,-0.10662467956642233,next_open
2024-12-19,2024-12-20,2024-12-26,5,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-6000.CFE,6207.1862,6400.0,6000.0,29,104.4,125.0,64.0,106.8,230.54699999999997,169.946,-6060.099999999997,-0.26285746507219776,next_open
2024-12-20,2024-12-23,2024-12-23,1,3% OTM strangle,0.03,MO2501-C-6500.CFE,MO2501-P-6000.CFE,6271.7532,6500.0,6000.0,28,75.6,89.0,52.0,158.8,165.42299999999997,209.746,4432.300000000004,0.267937348494466,next_open
2024-12-20,2024-12-23,2024-12-25,3,3% OTM strangle,0.03,MO2501-C-6500.CFE,MO2501-P-6000.CFE,6271.7532,6500.0,6000.0,28,75.6,89.0,45.0,143.0,165.42299999999997,187.06,2163.700000000003,0.13079801478633585,next_open
2024-12-20,2024-12-23,2024-12-27,5,3% OTM strangle,0.03,MO2501-C-6500.CFE,MO2501-P-6000.CFE,6271.7532,6500.0,6000.0,28,75.6,89.0,37.2,90.0,165.42299999999997,126.56400000000001,-3885.8999999999965,-0.23490687510201105,next_open
2024-12-23,2024-12-24,2024-12-24,1,3% OTM strangle,0.03,MO2501-C-6300.CFE,MO2501-P-5900.CFE,6096.3813,6300.0,5900.0,25,103.0,110.0,111.4,92.8,214.06499999999997,203.17899999999997,-1088.5999999999995,-0.05085371265737041,next_open
2024-12-23,2024-12-24,2024-12-26,3,3% OTM strangle,0.03,MO2501-C-6300.CFE,MO2501-P-5900.CFE,6096.3813,6300.0,5900.0,25,103.0,110.0,94.4,75.4,214.06499999999997,168.95100000000002,-4511.399999999995,-0.2107490715436898,next_open
2024-12-23,2024-12-24,2024-12-30,5,3% OTM strangle,0.03,MO2501-C-6300.CFE,MO2501-P-5900.CFE,6096.3813,6300.0,5900.0,25,103.0,110.0,83.2,59.4,214.06499999999997,141.887,-7217.7999999999965,-0.33717795996543093,next_open
2024-12-24,2024-12-25,2024-12-25,1,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6164.3605,6400.0,5900.0,24,80.0,92.8,64.4,104.6,173.664,168.155,-550.8999999999986,-0.03172217615625568,next_open
2024-12-24,2024-12-25,2024-12-27,3,3% OTM strangle,0.03,MO2501-C-6400.CFE,MO2501-P-5900.CFE,6164.3605,6400.0,5900.0,24,80.0,92.8,59.0,60.2,173.664,118.604,-5505.999999999999,-0.31704901418831766,next_open
