policy,group,group_value,trade_count,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_loss,max_win,profit_factor,top_5_wins_to_total_pnl,expected_shortfall_5pct,avg_exit_day
take_profit_30pct,dte_bucket,10-14,44,0.22727272727272727,-0.17509721628565011,-0.2663049900150358,-4081.4102272727255,-179582.04999999993,-20319.6,12228.839999999998,0.2994085340257763,-0.2830622548300346,-15421.299999999994,4.636363636363637
take_profit_30pct,dte_bucket,15-21,130,0.4,-0.03720371880363109,-0.11540825994568704,-1534.565999999998,-199493.57999999973,-97513.49999999997,13965.48,0.6389430954196424,-0.3165322914150926,-24152.485714285704,4.407692307692308
take_profit_30pct,dte_bucket,22-30,192,0.3697916666666667,-0.026794802605043216,-0.0774731625615345,-1247.5865104166635,-239536.6099999994,-18783.399999999998,14526.27,0.6409736356048168,-0.2761796203093972,-13438.909999999994,4.703125
take_profit_30pct,dte_bucket,31-45,77,0.42857142857142855,-0.023555929794491382,-0.032037972865332,-2104.928051948049,-162079.45999999976,-74627.69999999998,13881.06,0.48807189000584067,-0.3514840807095487,-30388.09999999999,4.909090909090909
take_profit_30pct,dte_bucket,7-10,27,0.37037037037037035,-0.1818639926444385,-0.340308818601294,-3630.8325925925924,-98032.48,-17963.999999999996,8502.300000000001,0.34451470374860177,-0.37459727633127304,-15355.649999999998,4.7407407407407405
take_profit_50pct,dte_bucket,10-14,44,0.20454545454545456,-0.15772429761461482,-0.2663049900150358,-3786.363636363635,-166599.99999999994,-20319.6,15527.25,0.3617670089475209,-0.419358043217287,-15421.299999999994,4.7272727272727275
take_profit_50pct,dte_bucket,15-21,130,0.34615384615384615,-0.02791299758545476,-0.13557040076020926,-1303.9830769230737,-169517.79999999958,-97513.49999999997,23275.8,0.7044899046395796,-0.5524251730496752,-24152.485714285704,4.707692307692308
take_profit_50pct,dte_bucket,22-30,192,0.3489583333333333,-0.022000830343048908,-0.08732853080819569,-1160.6765624999964,-222849.8999999993,-18783.399999999998,24210.45,0.6740363113619431,-0.4133196828896952,-13438.909999999994,4.875
take_profit_50pct,dte_bucket,31-45,77,0.4025974025974026,-0.0211062173058233,-0.059719356538671,-2044.7090909090869,-157442.5999999997,-74627.69999999998,23135.1,0.5073804109350739,-0.4818397307971296,-30388.09999999999,5.0
take_profit_50pct,dte_bucket,7-10,27,0.37037037037037035,-0.14738399606302316,-0.340308818601294,-2786.5499999999993,-75236.84999999998,-17963.999999999996,14170.500000000002,0.49693561856976376,-0.7905760275715957,-15355.649999999998,4.7407407407407405
