rule_name,mode,holding_days,eligible_signal_dates,trades,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_trade_loss,max_trade_profit,profit_factor,top_5_wins_to_total_pnl,top_10pct_capture_ratio,flat_ratio
iv_discount_and_trigger,daily_rolling,1,162,162,0.2777777777777778,-0.024064710937753822,-0.04270547522969985,-1240.848765432095,-201017.4999999994,-87463.19999999998,20944.5,0.40949126372850103,-0.3502212493937107,0.2553191489361702,0.6553191489361703
iv_discount_and_trigger,daily_rolling,2,162,162,0.24074074074074073,-0.016280835008385886,-0.06599554484377354,-1199.2061728395029,-194271.39999999947,-84040.39999999998,70853.7,0.5753179463435905,-0.8914024400915445,,0.6553191489361703
iv_discount_and_trigger,daily_rolling,3,162,162,0.2839506172839506,0.003365189711520991,-0.08984665327693445,-931.6617283950586,-150929.1999999995,-90149.69999999998,102295.7,0.7383295722958332,-1.9926521839379059,0.1702127659574468,0.6553191489361703
iv_discount_and_trigger,daily_rolling,5,162,162,0.29012345679012347,-0.02077802588578014,-0.12702512354696882,-1609.4901234567867,-260737.39999999944,-74627.69999999998,139300.69999999998,0.6480205989784211,-1.1491097939919652,0.10638297872340426,0.6553191489361703
iv_discount_and_trigger,non_overlapping,all,162,379,0.26649076517150394,-0.02187622147409063,-0.060453267828327,-1695.8279683377273,-642718.7999999986,-90149.69999999998,139300.69999999998,0.5027799643283883,-0.5112890738531387,0.1276595744680851,0.6553191489361703
iv_discount_and_trigger,non_overlapping,1,162,162,0.2777777777777778,-0.024064710937753822,-0.04270547522969985,-1240.848765432095,-201017.4999999994,-87463.19999999998,20944.5,0.40949126372850103,-0.3502212493937107,0.2553191489361702,0.6553191489361703
iv_discount_and_trigger,non_overlapping,2,162,98,0.25510204081632654,-0.021823111084542973,-0.0661438232526104,-1505.428571428568,-147531.99999999965,-84040.39999999998,70853.7,0.5440635737291721,-0.91778054930456,,0.6553191489361703
iv_discount_and_trigger,non_overlapping,3,162,70,0.2714285714285714,-0.04377930771144273,-0.100477568081691,-2761.8457142857105,-193329.19999999975,-90149.69999999998,53332.70000000001,0.42520481232783697,-0.611673766818464,0.10638297872340426,0.6553191489361703
iv_discount_and_trigger,non_overlapping,5,162,49,0.24489795918367346,0.01654309508820346,-0.1559694911684958,-2057.9612244897917,-100840.0999999998,-74627.69999999998,139300.69999999998,0.6549947534210538,-1.7393368312804165,0.02127659574468085,0.6553191489361703
iv_discount_and_trigger,one_position_at_a_time,all,162,162,0.2777777777777778,-0.024064710937753822,-0.04270547522969985,-1240.848765432095,-201017.4999999994,-87463.19999999998,20944.5,0.40949126372850103,-0.3502212493937107,0.2553191489361702,0.6553191489361703
iv_discount_and_trigger,one_position_at_a_time,1,162,162,0.2777777777777778,-0.024064710937753822,-0.04270547522969985,-1240.848765432095,-201017.4999999994,-87463.19999999998,20944.5,0.40949126372850103,-0.3502212493937107,0.2553191489361702,0.6553191489361703
iv_discount_and_trigger,one_position_at_a_time,2,162,98,0.25510204081632654,-0.021823111084542973,-0.0661438232526104,-1505.428571428568,-147531.99999999965,-84040.39999999998,70853.7,0.5440635737291721,-0.91778054930456,,0.6553191489361703
iv_discount_and_trigger,one_position_at_a_time,3,162,70,0.2714285714285714,-0.04377930771144273,-0.100477568081691,-2761.8457142857105,-193329.19999999975,-90149.69999999998,53332.70000000001,0.42520481232783697,-0.611673766818464,0.10638297872340426,0.6553191489361703
iv_discount_and_trigger,one_position_at_a_time,5,162,49,0.24489795918367346,0.01654309508820346,-0.1559694911684958,-2057.9612244897917,-100840.0999999998,-74627.69999999998,139300.69999999998,0.6549947534210538,-1.7393368312804165,0.02127659574468085,0.6553191489361703
