signal_date,entry_date,exit_date,holding_days,underlying_code,call_code,put_code,spot_at_signal,strike,dte,entry_call_price,entry_put_price,exit_call_price,exit_put_price,entry_premium,exit_premium,gross_pnl,cost,net_pnl,return_on_premium,atm_iv,rv20,iv_rank,iv_percentile,iv_minus_rv20,entry_mode_used,signal_call_close,signal_put_close,signal_call_volume,signal_put_volume,signal_call_open_interest,signal_put_open_interest,signal_straddle_close,signal_straddle_premium_to_spot,entry_call_open,entry_put_open,entry_straddle_open,exit_call_close,exit_put_close,exit_straddle_close,signal_call_bid,signal_call_ask,signal_put_bid,signal_put_ask,call_bid_ask_spread,put_bid_ask_spread
2025-07-25,2025-07-28,2025-07-28,1,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6706.6098,6700.0,21,118.0,153.0,112.8,136.0,272.35499999999996,247.556,-2219.999999999999,259.899999999996,-2479.899999999995,-0.0910539553156724,0.17829735929142895,0.10433310551572603,0.073530983894725,0.25,0.07396425377570293,next_open,122.4,153.0,17270.0,7875.0,5993.0,3206.0,275.4,0.0410639664767734,118.0,153.0,271.0,112.8,136.0,248.8,,,,,,
2025-07-25,2025-07-28,2025-07-29,2,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6706.6098,6700.0,21,118.0,153.0,134.2,101.0,272.35499999999996,234.024,-3580.000000000001,253.0999999999949,-3833.099999999996,-0.140739108883626,0.17829735929142895,0.10433310551572603,0.073530983894725,0.25,0.07396425377570293,next_open,122.4,153.0,17270.0,7875.0,5993.0,3206.0,275.4,0.0410639664767734,118.0,153.0,271.0,134.2,101.0,235.2,,,,,,
2025-07-25,2025-07-28,2025-07-30,3,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6706.6098,6700.0,21,118.0,153.0,103.2,120.8,272.35499999999996,222.88,-4700.0,247.49999999999636,-4947.499999999996,-0.18165629417488194,0.17829735929142895,0.10433310551572603,0.073530983894725,0.25,0.07396425377570293,next_open,122.4,153.0,17270.0,7875.0,5993.0,3206.0,275.4,0.0410639664767734,118.0,153.0,271.0,103.2,120.8,224.0,,,,,,
2025-07-25,2025-07-28,2025-08-01,5,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6706.6098,6700.0,21,118.0,153.0,54.4,132.0,272.35499999999996,185.46800000000002,-8460.0,228.69999999999345,-8688.699999999993,-0.31902113050981235,0.17829735929142895,0.10433310551572603,0.073530983894725,0.25,0.07396425377570293,next_open,122.4,153.0,17270.0,7875.0,5993.0,3206.0,275.4,0.0410639664767734,118.0,153.0,271.0,54.4,132.0,186.4,,,,,,
2025-07-28,2025-07-29,2025-07-29,1,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6729.979,6700.0,18,110.8,143.6,134.2,101.0,255.67199999999994,234.024,-1919.9999999999989,244.79999999999495,-2164.799999999994,-0.08467098469914557,0.17238732141262986,0.09848904053288864,0.06393915028240575,0.1746031746031746,0.07389828087974122,next_open,112.8,136.0,18805.0,10688.0,6367.0,3666.0,248.8,0.036968911790066505,110.8,143.6,254.39999999999998,134.2,101.0,235.2,,,,,,
2025-07-28,2025-07-29,2025-07-30,2,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6729.979,6700.0,18,110.8,143.6,103.2,120.8,255.67199999999994,222.88,-3039.9999999999977,239.19999999999663,-3279.1999999999944,-0.12825808066585292,0.17238732141262986,0.09848904053288864,0.06393915028240575,0.1746031746031746,0.07389828087974122,next_open,112.8,136.0,18805.0,10688.0,6367.0,3666.0,248.8,0.036968911790066505,110.8,143.6,254.39999999999998,103.2,120.8,224.0,,,,,,
2025-07-28,2025-07-29,2025-07-31,3,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6729.979,6700.0,18,110.8,143.6,62.2,151.4,255.67199999999994,212.532,-4079.9999999999955,233.99999999999727,-4313.999999999993,-0.16873181263493828,0.17238732141262986,0.09848904053288864,0.06393915028240575,0.1746031746031746,0.07389828087974122,next_open,112.8,136.0,18805.0,10688.0,6367.0,3666.0,248.8,0.036968911790066505,110.8,143.6,254.39999999999998,62.2,151.4,213.60000000000002,,,,,,
2025-07-28,2025-07-29,2025-08-04,5,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6729.979,6700.0,18,110.8,143.6,87.0,75.0,255.67199999999994,161.19,-9239.999999999998,208.19999999999527,-9448.199999999993,-0.36954379048155434,0.17238732141262986,0.09848904053288864,0.06393915028240575,0.1746031746031746,0.07389828087974122,next_open,112.8,136.0,18805.0,10688.0,6367.0,3666.0,248.8,0.036968911790066505,110.8,143.6,254.39999999999998,87.0,75.0,162.0,,,,,,
2025-07-29,2025-07-30,2025-07-30,1,000852.SH,MO2508-C-6800.CFE,MO2508-P-6800.CFE,6773.8843,6800.0,17,81.4,170.0,63.6,184.4,252.65699999999998,246.76,-340.00000000000057,249.69999999999857,-589.6999999999991,-0.02333994308489372,0.17518878640283253,0.09933255449283851,0.06848585313064905,0.20634920634920634,0.07585623190999402,next_open,89.0,157.6,15141.0,3962.0,7408.0,1774.0,246.6,0.03640451904382246,81.4,170.0,251.4,63.6,184.4,248.0,,,,,,
2025-07-29,2025-07-30,2025-07-31,2,000852.SH,MO2508-C-6800.CFE,MO2508-P-6800.CFE,6773.8843,6800.0,17,81.4,170.0,34.8,225.0,252.65699999999998,258.50100000000003,840.0000000000006,255.59999999999548,584.4000000000051,0.023130172526389735,0.17518878640283253,0.09933255449283851,0.06848585313064905,0.20634920634920634,0.07585623190999402,next_open,89.0,157.6,15141.0,3962.0,7408.0,1774.0,246.6,0.03640451904382246,81.4,170.0,251.4,34.8,225.0,259.8,,,,,,
