signal_date,holding_days,event_type,classification_reason,future_index_return,future_abs_return,future_gap_return_next_open,future_rv_5d,signal_rv20,rv_expansion_ratio,call_leg_pnl,put_leg_pnl,straddle_return,iv_change
2024-06-19,3,down_shock,negative future return with dominant put leg,-0.05275538568888,0.05275538568888,-0.0017827538382065,0.3705956278228232,0.1622006236611221,2.2847977982938628,-65.4,197.6,0.4622163353506637,
2024-06-19,5,down_shock,negative future return with dominant put leg,-0.0336455009787316,0.0336455009787316,-0.0017827538382065,0.3705956278228232,0.1622006236611221,2.2847977982938628,-56.199999999999996,89.20000000000002,0.1079128168680411,
2024-06-20,1,trend_vol_expansion,future RV expanded versus signal RV20,-0.0001592915288728,0.0001592915288728,-0.0030674793844146,0.3821107845365314,0.1679984417962079,2.2744900515211595,-5.799999999999997,-2.799999999999983,-0.0419113142993738,
2024-06-20,3,down_shock,negative future return with dominant put leg,-0.04124248341862,0.04124248341862,-0.0030674793844146,0.3821107845365314,0.1679984417962079,2.2744900515211595,-49.599999999999994,145.4,0.3460811557826485,
2024-06-20,5,down_shock,negative future return with dominant put leg,-0.0379840875792498,0.0379840875792498,-0.0030674793844146,0.3821107845365314,0.1679984417962079,2.2744900515211595,-49.599999999999994,118.79999999999998,0.2472248367770756,
2024-06-21,1,down_shock,negative future return with dominant put leg,-0.0331443850117171,0.0331443850117171,-0.0058978311794265,0.3932798541464569,0.167445608184227,2.3487021153386274,-28.0,107.80000000000001,0.2835340385738472,
2024-06-21,3,trend_vol_expansion,future RV expanded versus signal RV20,-0.0136388644158331,0.0136388644158331,-0.0058978311794265,0.3932798541464569,0.167445608184227,2.3487021153386274,-8.799999999999997,3.8000000000000114,-0.028338988563867,
2024-06-21,5,down_shock,negative future return with dominant put leg,-0.0315203772238225,0.0315203772238225,-0.0058978311794265,0.3932798541464569,0.167445608184227,2.3487021153386274,-34.8,78.60000000000002,0.1511351119587799,
2024-06-24,1,trend_vol_expansion,future RV expanded versus signal RV20,-0.0082177235172553,0.0082177235172553,-0.000386044617011,0.3157298319095731,0.1954367579773632,1.6155089512185985,-13.200000000000003,27.80000000000001,0.0478224385665598,
2024-06-24,3,trend_vol_expansion,future RV expanded versus signal RV20,-0.0048470910190869,0.0048470910190869,-0.000386044617011,0.3157298319095731,0.1954367579773632,1.6155089512185985,-8.200000000000003,0.0,-0.0423979224580533,
