signal_date,atm_iv,rv5,rv10,rv20,rv60,iv_minus_rv20,iv_rank,iv_percentile,iv_zscore_252,winsorized_iv_rank_252,iv_lookback_count,is_iv_warmup,rv5_minus_rv20,rv20_change_5d,rv20_change_10d,rv20_percentile_252,ret_1d,ret_3d,ret_5d,abs_ret_1d,abs_ret_5d,high_low_range_5d,high_low_range_10d,range_percentile_252,close_position_20d_range,distance_to_20d_high,distance_to_20d_low,underlying_volume_zscore_20d,option_total_volume,option_total_open_interest,call_volume,put_volume,put_call_volume_ratio,put_call_oi_ratio,signal_call_close,signal_put_close,signal_call_volume,signal_put_volume,signal_call_open_interest,signal_put_open_interest,signal_straddle_close,signal_straddle_premium_to_spot,entry_call_open,entry_put_open,entry_straddle_open,exit_call_close,exit_put_close,exit_straddle_close,signal_call_bid,signal_call_ask,signal_put_bid,signal_put_ask,call_bid_ask_spread,put_bid_ask_spread,dte,strike,straddle_close_price,straddle_premium_to_spot,call_close,put_close,valuation_score,compression_score,trigger_score,liquidity_score,old_vol_long_score
2024-06-14,0.1841638579361388,0.19927432011897753,0.15783901099254072,0.1775104450983306,0.27726108289331636,0.006653412837808181,,,,,81.0,True,0.021763875020646917,-0.023495469756538462,-0.0684750629918574,,-0.0035145163719484396,0.009702449446529426,-0.02504027319529023,0.0035145163719484396,0.02504027319529023,0.04795581446840358,0.058960344434111134,,0.17206509633114528,-0.08013242794231923,0.018438015894167492,-0.8422923747905968,2287.0,2842.0,1629.0,658.0,0.4039287906691222,1.12565445026178,104.4,179.4,1629.0,658.0,1337.0,1505.0,283.8,0.0547807570063632,92.2,190.0,282.2,103.4,176.0,279.4,,,,,,,35,5200.0,283.8,0.0547807570063632,104.4,179.4,43.93684431621561,48.72520910828259,11.795052340160037,100.0,53.80238568919453
2024-06-17,0.189545298081257,0.18762956016994023,0.1578642660577345,0.1569158004686145,0.2772013741388869,0.0326294976126425,,,,,82.0,True,0.030713759701325727,-0.04106579865098203,-0.03859175926104988,,0.0006401704743186354,0.005895137070266232,-0.011463829982469198,0.0006401704743186354,0.011463829982469198,0.03715966453723896,0.05796426821050327,,0.17814937138330586,-0.0795435558824048,0.019089989841866606,-1.4009323879695403,2383.0,3602.0,1537.0,846.0,0.5504229017566689,0.9179978700745474,103.4,176.0,1537.0,846.0,1878.0,1724.0,279.4,0.0538969397147875,108.6,170.4,279.0,120.4,136.0,256.4,,,,,,,32,5200.0,279.4,0.0538969397147875,103.4,176.0,36.555832233726306,44.38766298611702,3.9865379276419732,100.0,49.12669042972435
2024-06-18,0.1745377715379975,0.08283166484844168,0.16807430212167926,0.1609392646611768,0.2774857895039177,0.013598506876820682,,,,,83.0,True,-0.07810759981273513,-0.05061796181432965,-0.03501660985625213,,0.008350051865677166,0.005449436354414194,0.01878529628497838,0.008350051865677166,0.01878529628497838,0.029676226375970227,0.05796426821050327,,0.2671706189105224,-0.06861512102069245,0.027599444112838434,-0.8082175651988994,3720.0,4393.0,2121.0,1599.0,0.7538896746817539,0.8902753872633391,120.4,136.0,2121.0,1599.0,2324.0,2069.0,256.4,0.0490506086350267,127.6,136.0,263.6,91.0,179.6,270.6,,,,,,,31,5200.0,256.4,0.0490506086350267,120.4,136.0,46.54162607180463,73.28293810894776,10.966202065623678,100.0,52.552268762172275
2024-06-19,0.1893561078449369,0.14332684008351618,0.17264354559502026,0.1622006236611221,0.277096434438447,0.027155484183814804,,,,,84.0,True,-0.018873783577605913,-0.036308542022556234,-0.03330734527420323,,-0.012867118649022347,-0.0039872978905182155,0.0012433670709373068,0.012867118649022347,0.0012433670709373068,0.03049171967530384,0.05197544567623913,,0.13917546470764294,-0.0805993607664246,0.014377200141769242,-1.177255778672016,5728.0,5698.0,3365.0,2363.0,0.7022288261515601,0.7570151094665434,91.0,179.6,3365.0,2363.0,3243.0,2455.0,270.6,0.0524419163625077,91.8,185.4,277.2,56.8,248.0,304.8,,,,,,,30,5200.0,270.6,0.0524419163625077,91.0,179.6,39.47898089046812,68.94653001990483,17.419272892355757,100.0,50.11201284691334
2024-06-20,0.1922529707260574,0.1788917152166846,0.18666308385495392,0.16799844179620793,0.27856589386995284,0.024254528929849473,,,,,85.0,True,0.010893273420476662,-0.010657388339340407,-0.0333865607624341,,-0.020127191996037963,-0.02465862152924647,-0.027464284429679076,0.020127191996037963,0.027464284429679076,0.037420562708234906,0.055002082968442556,,0.0061023349548442645,-0.09485672489452579,0.0006438499985650381,-0.29244933676935747,8077.0,4525.0,4339.0,3738.0,0.8614888223092878,1.0237030411449015,86.6,178.6,4339.0,3738.0,2236.0,2289.0,265.2,0.0524510969171867,83.8,182.6,266.4,78.0,179.8,257.8,,,,,,,29,5100.0,265.2,0.0524510969171867,86.6,178.6,40.377878945099795,69.85090257931697,37.79868608584405,100.0,50.634184792627096
2024-06-21,0.1900478201417737,0.18286481020221076,0.18031402769443872,0.16744560818422705,0.2782657544544751,0.022602211957546664,,,,,86.0,True,0.015419202017983719,-0.010064836914103564,-0.033560306670642026,,-0.00015929152887284026,-0.03288940874541746,-0.02418969985491981,0.00015929152887284026,0.02418969985491981,0.045366251131947255,0.06308242968506383,,0.07576567390765039,-0.08973547618239486,0.008147247688977233,-1.9198800595054197,10662.0,5485.0,6925.0,3737.0,0.5396389891696751,0.7977712225499836,78.0,179.8,6925.0,3737.0,3051.0,2434.0,257.8,0.0509956525316067,70.0,199.2,269.2,42.0,307.0,349.0,,,,,,,28,5100.0,257.8,0.0509956525316067,78.0,179.8,42.10709832026109,60.998765101741746,16.511882549410778,100.0,50.9316018476416
2024-06-24,0.2098591145993492,0.2625460668857381,0.22923259916138278,0.19543675797736323,0.28072104346953797,0.01442235662198596,,,,,87.0,True,0.06710930890837488,0.03852095750874873,-0.0025448411422333006,,-0.033144385011717126,-0.05275538568888005,-0.05713592588287297,0.033144385011717126,0.05713592588287297,0.07318447953314489,0.08012867403716895,,0.0051510760858039075,-0.11472238026513137,0.0006714303911801167,-0.7743200466884457,15341.0,3191.0,4270.0,11071.0,2.5927400468384074,1.3308984660336012,98.2,159.6,4270.0,11071.0,1369.0,1822.0,257.8,0.0527438138032893,100.2,150.0,250.2,87.0,177.8,264.8,,,,,,,25,4900.0,257.8,0.0527438138032893,98.2,159.6,43.20650205288831,49.48489239141961,60.21780220650761,100.0,62.403975808042524
2024-06-25,0.2166835566614699,0.2020975281899183,0.21435651228377847,0.18523376504685082,0.26556448606076444,0.03144979161461908,,,,,88.0,True,0.01686376314306748,0.024294500385674017,-0.02632346142865563,,-0.00821772351725536,-0.041242483418620024,-0.0726277287222803,0.00821772351725536,0.0726277287222803,0.08874659860593437,0.08874659860593437,,0.052931311921074045,-0.10837275440593597,0.006839561081553036,-1.7141874928324308,16225.0,3679.0,3603.0,12622.0,3.5031917846239247,1.7091310751104565,134.6,126.6,3603.0,12622.0,1358.0,2321.0,261.2,0.0538822157043719,133.0,149.8,282.8,213.0,58.8,271.8,,,,,,,24,4800.0,261.2,0.0538822157043719,134.6,126.6,36.93676036678829,62.68030083161448,37.92172802746464,100.0,59.339037509368566
2024-06-26,0.2012584849836007,0.37059562782282324,0.27146399947656685,0.21875752886187572,0.26095615710976844,-0.017499043878275028,,,,,89.0,True,0.15183809896094752,0.05655690520075363,0.020248363178197393,,0.028627154994668835,-0.013638864415833174,-0.033645500978731646,0.028627154994668835,0.033645500978731646,0.07538813359948193,0.08933050947928245,,0.28908715256675255,-0.07914972284559096,0.03621795434612274,0.04606287895459841,16059.0,6934.0,13359.0,2700.0,0.20211093644733888,0.6280817093214369,97.0,145.0,13359.0,2700.0,4259.0,2675.0,242.0,0.0485321637589917,84.0,150.8,234.8,57.4,219.0,276.4,,,,,,,23,5000.0,242.0,0.0485321637589917,97.0,145.0,56.69164807946787,21.091284743324746,69.6518048389056,100.0,68.14982789808951
2024-06-27,0.2096090129638457,0.38211078453653147,0.2818637036302291,0.2249317314645189,0.2642067438780716,-0.015322718500673183,,,,,90.0,True,0.15717905307201258,0.05693328966831096,0.04627590132897055,,-0.024526470976292014,-0.00484709101908698,-0.03798408757924987,0.024526470976292014,0.03798408757924987,0.05786875354510013,0.08933050947928245,,0.08622966090674324,-0.10173493044172899,0.01080318476373976,-0.9801077005309676,14675.0,4701.0,7623.0,7052.0,0.9250951069132888,0.8457008244994111,92.0,150.0,7623.0,7052.0,2547.0,2154.0,242.0,0.0497524149195157,92.2,163.6,255.8,95.4,140.0,235.4,,,,,,,22,4900.0,242.0,0.0497524149195157,92.0,150.0,54.99467043186395,41.377033909325675,55.04893942026306,100.0,67.75808933012118
